stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.10050] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10054] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10057] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10062] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10065] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10068] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10071] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10075] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10084] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10088] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10091] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10095] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10098] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10101] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10104] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10108] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10111] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10114] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10117] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10121] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10125] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10129] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10132] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10136] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10140] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
