stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13957] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13964] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13971] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13978] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13984] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13993] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14002] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14012] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14021] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14029] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14037] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14046] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14054] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14062] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14070] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14079] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14087] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14104] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14112] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14121] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14129] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14138] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14146] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14154] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14162] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14169] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14176] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14183] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14189] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14198] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14205] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14212] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14219] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14228] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14236] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14245] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14260] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14270] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14278] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14288] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14296] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14305] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14333] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14343] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14352] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14361] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14368] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14375] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14381] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14390] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14397] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14404] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14411] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14418] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14425] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14434] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14441] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14453] Single Buffer requirement not met.
